publicid,TotalCount,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9
2019p691868,1,0,0,1,0,0,0,0,0,0
2019p691384,1,0,0,1,0,0,0,0,0,0
2019p691299,5,0,0,3,1,1,0,0,0,0
2019p690612,1,0,0,1,0,0,0,0,0,0
2019p690292,3,0,0,1,1,1,0,0,0,0
2019p689647,1,0,0,0,0,0,0,1,0,0
2019p689604,2,0,0,2,0,0,0,0,0,0
2019p688855,1,0,0,1,0,0,0,0,0,0
2019p688773,3,0,0,3,0,0,0,0,0,0
2019p687468,2,0,0,2,0,0,0,0,0,0
2019p687455,2,0,0,2,0,0,0,0,0,0
2019p687203,1,0,0,1,0,0,0,0,0,0
2019p687186,1,0,0,1,0,0,0,0,0,0
2019p686894,1,0,0,1,0,0,0,0,0,0
2019p686307,2,0,0,2,0,0,0,0,0,0
2019p685973,1,0,0,1,0,0,0,0,0,0
2019p685751,10,0,0,9,1,0,0,0,0,0
2019p685497,1,0,0,0,1,0,0,0,0,0
2019p685437,1,0,0,0,1,0,0,0,0,0
2019p685414,2,0,0,2,0,0,0,0,0,0
2019p685004,1,0,0,1,0,0,0,0,0,0
2019p684945,1,0,0,0,0,0,1,0,0,0
2019p684706,7,0,0,5,2,0,0,0,0,0
2019p684704,8,0,0,6,2,0,0,0,0,0
2019p684684,8,0,0,6,2,0,0,0,0,0
2019p684652,10,0,0,8,2,0,0,0,0,0
2019p684564,752,0,0,564,174,13,0,1,0,0
2019p684240,1,0,0,1,0,0,0,0,0,0
2019p683739,1,0,0,0,1,0,0,0,0,0
2019p682749,8,0,0,8,0,0,0,0,0,0
2019p682750,8,0,0,8,0,0,0,0,0,0
2019p682242,1,0,0,1,0,0,0,0,0,0
2019p682187,1,0,0,1,0,0,0,0,0,0
2019p682101,5,0,0,4,1,0,0,0,0,0
2019p682033,3,0,0,3,0,0,0,0,0,0
2019p682030,3,0,0,3,0,0,0,0,0,0
2019p681962,2,0,0,2,0,0,0,0,0,0
2019p681935,4,0,0,4,0,0,0,0,0,0
2019p681417,1,0,0,1,0,0,0,0,0,0
2019p680421,5,0,0,5,0,0,0,0,0,0
2019p679919,6,0,0,4,2,0,0,0,0,0
2019p679893,18,0,0,14,4,0,0,0,0,0
2019p679440,3,0,0,3,0,0,0,0,0,0
2019p679060,3,0,0,3,0,0,0,0,0,0
2019p679039,2,0,0,2,0,0,0,0,0,0
2019p679033,1,0,0,1,0,0,0,0,0,0
2019p678816,3,0,0,3,0,0,0,0,0,0
2019p678702,1,0,0,1,0,0,0,0,0,0
2019p678684,3,0,0,3,0,0,0,0,0,0
2019p677585,2,0,0,2,0,0,0,0,0,0
2019p676655,1,0,0,0,1,0,0,0,0,0
2019p676649,2,0,0,1,1,0,0,0,0,0
2019p676330,2,0,0,1,0,1,0,0,0,0
2019p676314,2,0,0,1,0,1,0,0,0,0
2019p676259,1,0,0,1,0,0,0,0,0,0
2019p676241,4,0,0,4,0,0,0,0,0,0
2019p676227,4,0,0,4,0,0,0,0,0,0
2019p675310,1,0,0,0,0,1,0,0,0,0
2019p675187,1,0,0,0,0,0,1,0,0,0
2019p675144,1,0,0,0,0,0,0,0,1,0
2019p674328,1,0,0,1,0,0,0,0,0,0
2019p673840,1,0,0,1,0,0,0,0,0,0
2019p673762,1,0,0,0,1,0,0,0,0,0
2019p673454,2,0,0,2,0,0,0,0,0,0
2019p672396,1,0,0,1,0,0,0,0,0,0
2019p672344,2,0,0,2,0,0,0,0,0,0
2019p671879,1,0,0,1,0,0,0,0,0,0
2019p671679,1,0,0,1,0,0,0,0,0,0
2019p671666,1,0,0,1,0,0,0,0,0,0
2019p671592,2,0,0,1,1,0,0,0,0,0
2019p671510,13,0,0,8,4,0,1,0,0,0
2019p671408,3,0,0,1,0,1,0,0,1,0
2019p671242,3,0,0,3,0,0,0,0,0,0
2019p671171,9,0,0,0,0,0,1,5,3,0
2019p671001,1,0,0,0,0,0,0,0,1,0
2019p670954,3,0,0,3,0,0,0,0,0,0
2019p670735,1,0,0,1,0,0,0,0,0,0
2019p670727,1,0,0,1,0,0,0,0,0,0
2019p670674,6,0,0,6,0,0,0,0,0,0
2019p670488,1,0,0,0,1,0,0,0,0,0
2019p670466,4,0,0,3,1,0,0,0,0,0
2019p670442,35,0,0,22,12,1,0,0,0,0
2019p670436,38,0,0,25,12,1,0,0,0,0
